City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,0,8.05,CA,1672119363
216,Richards Bay,-28.783,32.0377,71.1,89,100,4.34,ZA,1672119130
217,Souillac,-20.5167,57.5167,79.18,83,75,9.22,MU,1672119364
218,Ostrovnoy,68.0531,39.5131,20.91,83,97,26.93,RU,1672119364
219,Biak,-0.9131,122.8766,83.71,66,97,1.45,ID,1672119365
220,Nelson Bay,-32.7167,152.15,80.65,83,0,18.01,AU,1672119365
221,San Ramon,37.7799,-121.978,55.62,93,100,10.36,US,1672119203
222,Kontagora,10.3999,5.4695,66.34,32,3,8.34,NG,1672119366
223,Bangui,4.3612,18.555,73.0,39,62,3.85,CF,1672119367
224,Hobyo,5.3505,48.5268,80.02,68,65,15.66,SO,1672119368
225,Maryville,35.7565,-83.9705,28.65,94,100,3.44,US,1672119368
226,Ahipara,-35.1667,173.1667,70.18,75,4,7.45,NZ,1672119152
227,Miahuatlán,18.5667,-97.4333,47.3,89,26,5.28,MX,1672119369
228,Manzanillo,20.3433,-77.1167,70.43,88,16,5.5,CU,1672119370
229,Labuhan,-6.8844,112.2051,82.17,75,100,15.43,ID,1672119371
230,Springbok,-29.6643,17.8865,66.78,24,0,2.3,ZA,1672119371
231,Sudak,44.85,34.9667,46.13,81,100,7.43,UA,1672119372
232,Vrangel',42.7297,133.0839,26.56,60,2,5.46,RU,1672119373
233,Tempe,33.4148,-111.9093,66.58,44,100,3.44,US,1672119374
234,Selçuk,37.9514,27.3685,52.02,58,0,4.45,TR,1672119374
235,Saint-Philippe,-21.3585,55.7679,83.79,72,24,11.74,RE,1672119375
236,Cherskiy,68.75,161.3,-13.97,99,100,4.97,RU,1672119376
237,Maués,-3.3836,-57.7186,71.73,98,100,1.9,BR,1672119376
238,Lorengau,-2.0226,147.2712,84.31,69,18,6.46,PG,1672119377
239,Alekseyevsk,57.8406,108.3492,-4.04,94,66,3.76,RU,1672119378
240,Kloulklubed,7.0419,134.2556,82.9,84,100,21.36,PW,1672119379
241,Ambon City,-3.6954,128.1814,80.74,78,40,5.75,ID,1672119379
242,Kumul,42.8,93.45,24.22,36,0,1.12,CN,1672119380
243,San Cristobal,7.7669,-72.225,64.58,70,77,2.06,VE,1672119381
244,Alginet,39.2667,-0.4667,54.48,77,39,3.4,ES,1672119243
245,San Jose,37.3394,-121.895,57.54,87,100,11.5,US,1672119383
246,Cap Malheureux,-19.9842,57.6142,83.46,60,14,10.0,MU,1672119384
247,São Filipe,14.8961,-24.4956,70.39,65,90,8.68,CV,1672119386
248,San Andrés,12.5847,-81.7006,80.62,78,20,8.05,CO,1672119388
249,Vestmannaeyjar,63.4427,-20.2734,35.94,61,100,18.07,IS,1672119388
250,Acapulco de Juárez,16.8634,-99.8901,76.82,83,40,3.44,MX,1672119376
251,Snåase,64.2457,12.3778,38.61,93,100,5.28,NO,1672119389
252,San Quintín,30.4833,-115.95,62.06,50,71,2.95,MX,1672119390
253,Clyde River,70.4692,-68.5914,-9.17,84,75,0.0,CA,1672119390
254,Paita,-5.0892,-81.1144,68.05,85,40,4.65,PE,1672119391
